#CLLF -> Classic LISA Low Frequency
#Classic LISA curve with the low-frequency shape of Proposed LISA (PL)
#shifted to lower frequencies and splined together with Classic LISA. 
#CL is from Larson et al 2000. 
f	ASD
7.782714999999996476e-03	1.163759000000001270e-20
7.964053000000003921e-03	1.169467000000001195e-20
8.149615000000002413e-03	1.175581999999998818e-20
8.339501000000000899e-03	1.182121000000004562e-20
8.533811000000003991e-03	1.189101999999996814e-20
8.732649000000000314e-03	1.196544999999997169e-20
8.936119999999997052e-03	1.204473999999996418e-20
9.144331000000000334e-03	1.212914000000001918e-20
9.357393999999998047e-03	1.221893999999998198e-20
9.575421999999998365e-03	1.231442999999995819e-20
9.798529999999996271e-03	1.241597000000000156e-20
1.002684000000000041e-02	1.252390999999995204e-20
1.026045999999999903e-02	1.263868000000003570e-20
1.049952999999999824e-02	1.276072000000004689e-20
1.074416000000000086e-02	1.289051000000002414e-20
1.099450999999999727e-02	1.302859000000003228e-20
1.125068000000000075e-02	1.317555000000002533e-20
1.151282000000000173e-02	1.333203999999998961e-20
1.178106999999999592e-02	1.349877000000000990e-20
1.205556999999999636e-02	1.367651000000000317e-20
1.233647000000000216e-02	1.386612999999995521e-20
1.262390000000000040e-02	1.406854999999996223e-20
1.291804000000000043e-02	1.428482999999995801e-20
1.321902999999999793e-02	1.451612000000004740e-20
1.352703000000000412e-02	1.476368999999998749e-20
1.384222000000000403e-02	1.502893999999993864e-20
1.416472999999999691e-02	1.531344000000001646e-20
1.449477000000000231e-02	1.561891999999993814e-20
1.483250000000000193e-02	1.594732000000006274e-20
1.517809999999999993e-02	1.630079000000001895e-20
1.553175000000000389e-02	1.668172000000001594e-20
1.589364000000000055e-02	1.709279999999999847e-20
1.626395999999999745e-02	1.753702000000002004e-20
1.664291000000000381e-02	1.801773000000005095e-20
1.703068999999999764e-02	1.853864999999994384e-20
1.742751000000000022e-02	1.910397999999994197e-20
1.783356999999999651e-02	1.971835999999992646e-20
1.824909000000000253e-02	2.038697000000001328e-20
1.867428999999999964e-02	2.111553999999994695e-20
1.910940000000000208e-02	2.191032999999996705e-20
1.955464999999999634e-02	2.277815999999994332e-20
2.001028000000000182e-02	2.372632000000005629e-20
2.047650999999999638e-02	2.476238000000005333e-20
2.095362000000000266e-02	2.589385000000000611e-20
2.144183000000000200e-02	2.712774999999991305e-20
2.194142999999999788e-02	2.846966999999992035e-20
2.245267000000000443e-02	2.992250999999995858e-20
2.297580999999999929e-02	3.148461000000006610e-20
2.351114999999999802e-02	3.314706000000001690e-20
2.405895999999999729e-02	3.489032000000002559e-20
2.461953000000000405e-02	3.668026999999991563e-20
2.519317000000000431e-02	3.846437999999984773e-20
2.578017000000000850e-02	4.016972999999990920e-20
2.638083999999999568e-02	4.170497000000011816e-20
2.699553000000000716e-02	4.296874000000002252e-20
2.762451000000000489e-02	4.386525000000005944e-20
2.826817000000000565e-02	4.432434000000013089e-20
2.892681000000000766e-02	4.431893000000004993e-20
2.960081000000000517e-02	4.387232000000015622e-20
3.029050999999999272e-02	4.305180000000004124e-20
3.099627999999999411e-02	4.195184999999987439e-20
3.171849000000000196e-02	4.067444999999992520e-20
3.245752999999999833e-02	3.931353999999999882e-20
3.321378999999999998e-02	3.794624999999993083e-20
3.398768000000000622e-02	3.663059000000005001e-20
3.477957999999999050e-02	3.540703999999987684e-20
3.558994999999999520e-02	3.430210000000009422e-20
3.641920000000000573e-02	3.333209000000005679e-20
3.726777000000000561e-02	3.250658999999997257e-20
3.813609999999999223e-02	3.183111000000003499e-20
3.902468000000000603e-02	3.130922999999995667e-20
3.993395000000000972e-02	3.094407999999998528e-20
4.086440999999999685e-02	3.073946999999994890e-20
4.181656000000000956e-02	3.070083999999993332e-20
4.279088000000000336e-02	3.083585999999987363e-20
4.378789999999999766e-02	3.115513000000009475e-20
4.480815999999998578e-02	3.167271000000007913e-20
4.585220000000000962e-02	3.240657999999990744e-20
4.692054999999999837e-02	3.337896000000003948e-20
4.801380000000000925e-02	3.461621999999995747e-20
4.913253000000000759e-02	3.614794000000011444e-20
5.027730999999999867e-02	3.800434999999990705e-20
5.144878000000000645e-02	4.021065000000016292e-20
5.264753000000000488e-02	4.277583000000017608e-20
5.387420999999998489e-02	4.567344999999998354e-20
5.512949000000000321e-02	4.881243999999989546e-20
5.641400000000000581e-02	5.200310999999985820e-20
5.772844999999998672e-02	5.493885999999987718e-20
5.907352000000001130e-02	5.723287000000014586e-20
6.044993999999998674e-02	5.853856999999981134e-20
6.185841999999999036e-02	5.871058999999996088e-20
6.329972000000000376e-02	5.788569000000010616e-20
6.477460000000000162e-02	5.641187999999993076e-20
6.628385000000000526e-02	5.469512000000001515e-20
6.782826000000000133e-02	5.308132999999995752e-20
6.940865999999999703e-02	5.181788000000005077e-20
7.102587999999998569e-02	5.106952999999987758e-20
7.268078000000001426e-02	5.095236000000013532e-20
7.437424999999998898e-02	5.156579999999983229e-20
7.610716999999998789e-02	5.301657999999992238e-20
7.788045999999998470e-02	5.543316000000009090e-20
7.969507999999998760e-02	5.896587999999975988e-20
8.155197000000001528e-02	6.375584000000005206e-20
8.345213000000001324e-02	6.983106000000021711e-20
8.539657000000001885e-02	7.686287999999986868e-20
8.738631000000000870e-02	8.378357000000010534e-20
8.942240999999997997e-02	8.867067000000029916e-20
9.150595000000001644e-02	8.975035999999964328e-20
9.363804000000003347e-02	8.706562999999976756e-20
9.581977999999997941e-02	8.244548999999984672e-20
9.803368000000001192e-02	7.790364000000015378e-20
1.002986999999999906e-01	7.458568000000001495e-20
1.026161999999999908e-01	7.304369000000027859e-20
1.049872000000000166e-01	7.356351000000016802e-20
1.074128000000000166e-01	7.640322000000022861e-20
1.098945999999999812e-01	8.186921000000021032e-20
1.124336999999999837e-01	9.016524999999971268e-20
1.150314999999999810e-01	1.007434000000003869e-19
1.176891999999999799e-01	1.109428999999995613e-19
1.204083999999999849e-01	1.157387000000003891e-19
1.231904999999999945e-01	1.124714000000003588e-19
1.260368000000000044e-01	1.046876999999997401e-19
1.289488000000000023e-01	9.741535000000005381e-20
1.319282000000000232e-01	9.331343999999972299e-20
1.349763999999999964e-01	9.337619000000003635e-20
1.380949999999999955e-01	9.823574999999967390e-20
1.412856000000000112e-01	1.086059000000003349e-19
1.445500999999999869e-01	1.243467000000001876e-19
1.478897999999999879e-01	1.406546000000004302e-19
1.513069000000000219e-01	1.457501999999995987e-19
1.548028000000000182e-01	1.361176999999998591e-19
1.583796000000000093e-01	1.232325000000001886e-19
1.620389000000000135e-01	1.156699999999995885e-19
1.657828000000000079e-01	1.159842999999998299e-19
1.696130999999999889e-01	1.253078999999996722e-19
1.735319999999999918e-01	1.442396000000002411e-19
1.775415000000000187e-01	1.666450000000005103e-19
1.816435999999999884e-01	1.717615999999994416e-19
1.858403999999999889e-01	1.553222999999996760e-19
1.901342000000000032e-01	1.392738999999994743e-19
1.927040000000000142e-01	1.349667000000003091e-19
1.953084999999999682e-01	1.352582000000003520e-19
1.979481999999999631e-01	1.405307000000001346e-19
2.006235000000000379e-01	1.512176000000001877e-19
2.033350999999999631e-01	1.672670000000004308e-19
2.060832999999999970e-01	1.862640999999995933e-19
2.088685999999999876e-01	2.007267999999999974e-19
2.116914999999999769e-01	2.014193000000007210e-19
2.145526999999999851e-01	1.891064000000003318e-19
2.174524000000000179e-01	1.734964000000001458e-19
2.203913999999999596e-01	1.618072999999996553e-19
2.233700999999999881e-01	1.566473000000002255e-19
2.263890999999999820e-01	1.587866000000001665e-19
2.294488000000000083e-01	1.688096999999996261e-19
2.325499000000000316e-01	1.870020000000004890e-19
2.356930000000000136e-01	2.106606000000002582e-19
2.388784999999999659e-01	2.287122999999990742e-19
2.421069999999999611e-01	2.266694999999999304e-19
2.453793000000000224e-01	2.082242000000008127e-19
2.486957000000000195e-01	1.891386999999997925e-19
2.520568999999999726e-01	1.780134999999996316e-19
2.554636000000000129e-01	1.771053000000002248e-19
2.589163000000000436e-01	1.873123000000005165e-19
2.624156999999999740e-01	2.093111000000007879e-19
2.659623999999999877e-01	2.394323999999995161e-19
2.695569999999999911e-01	2.597595999999997764e-19
2.732002000000000042e-01	2.502242999999999963e-19
2.768925999999999332e-01	2.243968999999993525e-19
2.806350000000000233e-01	2.044988999999994970e-19
2.844279000000000113e-01	1.981853999999995951e-19
2.871554000000000606e-01	2.028792999999996428e-19
2.899089999999999168e-01	2.157027000000008689e-19
2.926890999999999243e-01	2.366110999999991423e-19
2.954957999999999196e-01	2.626558000000006300e-19
2.983294000000000223e-01	2.838987999999997936e-19
3.011902000000000190e-01	2.864463999999999232e-19
3.040784999999999738e-01	2.693422999999997393e-19
3.069945000000000035e-01	2.461380999999996136e-19
3.099382999999999444e-01	2.279172000000000451e-19
3.129104000000000330e-01	2.187373999999999509e-19
3.159110000000000529e-01	2.195980999999994355e-19
3.189405000000000157e-01	2.310950000000004833e-19
3.219988999999999768e-01	2.536414000000007938e-19
3.250867000000000062e-01	2.846836000000008754e-19
3.282039999999999957e-01	3.119962999999991061e-19
3.313513000000000153e-01	3.153842999999993476e-19
3.345288000000000150e-01	2.932859000000004618e-19
3.377367000000000008e-01	2.655784000000008925e-19
3.409753999999999841e-01	2.463717000000002904e-19
3.442451999999999734e-01	2.398021999999991445e-19
3.475462999999999747e-01	2.468226000000004630e-19
3.508790999999999993e-01	2.681625000000000551e-19
3.542437999999999976e-01	3.023187000000012050e-19
3.576407999999999809e-01	3.366303000000004651e-19
3.610703000000000107e-01	3.437649999999994184e-19
3.645327999999999902e-01	3.177296999999990906e-19
3.680284999999999807e-01	2.850802999999999093e-19
3.715575999999999879e-01	2.642993000000000543e-19
3.751206000000000262e-01	2.600451999999994785e-19
3.787177999999999933e-01	2.734317000000003510e-19
3.815347000000000044e-01	2.965190000000010008e-19
3.843726000000000087e-01	3.288838999999998274e-19
3.872317000000000120e-01	3.613118000000012647e-19
3.901120000000000143e-01	3.751817999999993755e-19
3.930136000000000185e-01	3.602581000000000895e-19
3.959368999999999805e-01	3.300603999999990619e-19
3.988820000000000143e-01	3.024997000000011946e-19
4.018489000000000089e-01	2.857102999999989576e-19
4.048378999999999728e-01	2.816990999999995644e-19
4.078490000000000171e-01	2.910579999999990640e-19
4.108827999999999925e-01	3.143217000000005721e-19
4.139388999999999985e-01	3.499689000000005803e-19
4.170178999999999969e-01	3.875605999999991975e-19
4.201196999999999848e-01	4.032480000000004484e-19
4.232446000000000264e-01	3.838074000000013479e-19
4.263927000000000134e-01	3.481432000000014537e-19
4.295643000000000100e-01	3.183514000000006116e-19
4.327594000000000163e-01	3.028964999999995345e-19
4.359782999999999853e-01	3.034970000000008511e-19
4.392211999999999783e-01	3.208900999999995780e-19
4.424881999999999982e-01	3.552278000000000882e-19
4.457793999999999923e-01	4.001224000000001513e-19
4.490952000000000277e-01	4.311167999999996484e-19
4.524355999999999933e-01	4.202970999999988346e-19
4.558009000000000088e-01	3.810292999999985754e-19
4.591912000000000216e-01	3.447765999999994027e-19
4.626066999999999818e-01	3.254417999999987643e-19
4.660476000000000063e-01	3.257658000000006355e-19
4.695141999999999927e-01	3.466388000000008845e-19
4.730063999999999935e-01	3.877365999999985466e-19
4.758811000000000013e-01	4.293208000000000433e-19
4.787732000000000099e-01	4.582914999999996233e-19
4.816829000000000249e-01	4.534575000000002698e-19
4.846102999999999938e-01	4.202534000000002255e-19
4.875554000000000276e-01	3.825037999999992777e-19
4.905185000000000239e-01	3.553447999999995442e-19
4.934995999999999827e-01	3.433077000000008584e-19
4.964987000000000150e-01	3.472785999999988464e-19
4.995162000000000213e-01	3.678688999999993449e-19
5.025519000000000513e-01	4.048977999999984246e-19
5.056062000000000056e-01	4.519207000000001394e-19
5.086789000000000449e-01	4.867085000000013187e-19
5.117703999999999587e-01	4.817833000000007858e-19
5.148804999999999632e-01	4.435049999999989932e-19
5.180097000000000174e-01	4.017685999999985560e-19
5.211578000000000044e-01	3.740106000000003848e-19
5.243250999999999884e-01	3.647346000000013595e-19
5.275115999999999694e-01	3.747982999999995405e-19
5.307176000000000116e-01	4.048440999999988714e-19
5.339428999999999981e-01	4.525963000000009811e-19
5.371879000000000515e-01	5.019892999999999717e-19
5.404525999999999497e-01	5.173335999999985358e-19
5.437372000000000316e-01	4.846248000000008411e-19
5.470416000000000167e-01	4.358934000000001862e-19
5.503662000000000276e-01	3.996982000000010611e-19
5.537109999999999532e-01	3.847297999999998504e-19
5.570760999999999630e-01	3.924129999999990728e-19
5.604616999999999516e-01	4.235724999999988395e-19
5.638678000000000301e-01	4.761001000000012928e-19
5.672945999999999822e-01	5.312341000000001013e-19
5.702095999999999831e-01	5.472880999999996925e-19
5.731395000000000239e-01	5.210934999999988058e-19
5.760845999999999467e-01	4.752400000000004849e-19
5.790446999999999678e-01	4.352839999999992471e-19
5.820199999999999818e-01	4.117658000000006497e-19
5.850106000000000472e-01	4.069499000000013000e-19
5.880166999999999478e-01	4.214158999999994576e-19
5.910381000000000107e-01	4.556089000000005917e-19
5.940750000000000197e-01	5.065131999999980060e-19
5.971275999999999806e-01	5.577212999999995839e-19
6.001959000000000044e-01	5.754405000000019302e-19
6.032798999999999801e-01	5.446469999999999493e-19
